,Rank,Company,Symbol,Weight
0,1,Boeing Company,BA,7.621048
1,2,Goldman Sachs Group Inc.,GS,7.128254
2,3,3M Company,MMM,7.009406
3,4,UnitedHealth Group Incorporated,UNH,6.121139
4,5,Home Depot Inc.,HD,4.897560
5,6,McDonald's Corporation,MCD,4.824128
6,7,Apple Inc.,AAPL,4.612678
7,8,International Business Machines Corporation,IBM,4.526859
8,9,Johnson & Johnson,JNJ,4.198330
9,10,Caterpillar Inc.,CAT,4.035540
10,11,Travelers Companies Inc.,TRV,3.886316
11,12,United Technologies Corporation,UTX,3.509127
12,13,Chevron Corporation,CVX,3.492907
13,14,Visa Inc. Class A,V,3.228963
14,15,JPMorgan Chase & Co.,JPM,2.979174
15,16,Walt Disney Company,DIS,2.884214
16,17,American Express Company,AXP,2.758287
17,18,Wal-Mart Stores Inc.,WMT,2.609358
18,19,Procter & Gamble Company,PG,2.561583
19,20,Exxon Mobil Corporation,XOM,2.452761
20,21,Microsoft Corporation,MSFT,2.318872
21,22,DowDuPont Inc.,DWDP,2.096511
22,23,Merck & Co. Inc.,MRK,1.841709
23,24,NIKE Inc. Class B,NKE,1.620232
24,25,Verizon Communications Inc.,VZ,1.434439
25,26,Coca-Cola Company,KO,1.358058
26,27,Intel Corporation,INTC,1.202640
27,28,Pfizer Inc.,PFE,1.066392
28,29,Cisco Systems Inc.,CSCO,1.011539
29,30,General Electric Company,GE,0.634055
